year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,334,4,70,D-12026,S6A9_batch2,NA,NA,145,NA,NA,NA,215.34,1.203183388
2017,335,4,71,D-12337,S5B8_batch2,NA,NA,120,NA,NA,NA,42.85,-0.81430555
2017,337,4,73,PI-614909,NA,NA,NA,NA,NA,NA,NA,53.37,-0.691260831
2017,340,4,76,D-12279,S3A5_batch1,NA,NA,145,NA,NA,NA,159.24,0.547022861
2017,341,4,77,D-12420,S1A3_batch1,NA,NA,85,NA,NA,NA,24.65,-1.027177593
2017,342,4,78,Regalona,S1C5_batch1,NA,NA,137,NA,NA,NA,152.5,0.468190027
2017,343,4,79,D-9985,S4F6_batch1,NA,NA,160,NA,NA,NA,272.12,1.867297377
2017,345,4,81,D-12344,NA,NA,NA,145,NA,NA,NA,NA,NA
2017,346,4,82,CHEN-252,S1D12_batch2,NA,NA,90,NA,NA,NA,11.19,-1.184609334
2017,347,4,83,D-12186,NA,NA,NA,98,NA,NA,NA,152.41,0.467137363
2017,348,4,84,CHEN-470,S1F5_batch1,NA,NA,169,NA,NA,NA,71.89,-0.474645983
2017,349,4,85,D-12156,NA,NA,NA,135,NA,NA,NA,283.87,2.004728504
2017,351,4,87,D-12290,S46_batch3,NA,NA,103,NA,NA,NA,NA,NA
2017,352,4,88,PI-614885,S1C9_batch1,NA,NA,157,NA,NA,NA,157.67,0.528659723
2017,353,4,89,D-12314,NA,NA,NA,125,NA,NA,NA,150.64,0.446434972
2017,355,4,91,D-12030,S5E9_batch2,NA,NA,178,NA,NA,NA,180.99,0.801416648
2017,358,4,94,D-9981,NA,NA,NA,110,NA,NA,NA,28.95,-0.976883649
2017,359,4,95,D-12377,S6B14_batch2,NA,NA,122,NA,NA,NA,84.31,-0.329378358
2017,360,4,96,CHEN-354,S3F3_batch1,NA,NA,146,NA,NA,NA,59.68,-0.617457392
2017,361,4,97,BO-55,S1G1_batch1,NA,NA,147,NA,NA,NA,181.64,0.809019221
2017,363,4,99,CHEN-369,S8B2_batch2,NA,NA,100,NA,NA,NA,5.82,-1.247418283
2017,364,4,100,D-12383,NA,NA,NA,109,NA,NA,NA,29.95,-0.965187382
2017,366,4,102,D-11942,S6F4_batch2,NA,NA,90,NA,NA,NA,210.5,1.14657346
2017,368,4,104,D-12387,S2C5_batch1,NA,NA,99,NA,NA,NA,29.08,-0.975363134
2017,370,4,106,D-12265,NA,NA,NA,165,NA,NA,NA,237.09,1.457577176
2017,372,4,108,D-12228,NA,NA,NA,145,NA,NA,NA,43.2,-0.810211857
2017,373,4,109,Regalona,S1C5_batch1,NA,NA,115,NA,NA,NA,102.18,-0.120366083
2017,374,4,110,Ames-22154,NA,NA,NA,150,NA,NA,NA,96.63,-0.185280359
2017,375,4,111,CHEN-254,S6E1_batch2,NA,NA,113,NA,NA,NA,37.29,-0.879336789
